Name, MaxDist, MinDist, DevShotAngle, AimTolerance, AimLeadingPrediction, RotateRate, ElevateRate, IdlePower, RateOfFire, ReloadTime, HeatPerShot, MaxHeat, HeatSinkRate, ShotsInBurst, DelayAfterBurst, AmmoName
30mm Rotary Cannon spinny, 0, 0, 0.5, 1, Accurate, 0, 0, 0, 3000, 0, 0, 70000, 3200, 0, 0,    30mmAmmoBlank   30mmAmmoBlank2
30mm Conventional CIWS, 1200, 0, 0.35, 4.15000009536743, Advanced, 0.03, 0.02, 0, 3000, 480, 0, 60000, 15000, 0, 0,    30mmAmmoTT   30mmAmmoAP   30mmAmmoHE   30mmDUAmmoT   30mmAmmoDU   30mmCRAMAmmo   30mmCRAMAmmoS   30mmAmmoTR
203mm Howitzer, 0, 0, 0.6, 1, Advanced, 0, 0, 0, 30, 960, 0, 70000, 1000, 0, 0,    LV203mmammo   MV203mmammo   HV203mmammo   H203mmammoShrap   H203ShrapBase   HVF203mmammo
100mm Gun Turret, 2500, 20, 0.2, 0.150000005960464, Advanced, 0.015, 0.01, 0, 60, 180, 600, 70000, 1000, 0, 0,    Flak100mm   C100mmShrapnel   C100mmShrapnelbase   HE100mm
203mm Gun Turret, 3500, 20, 0.25, 0.150000005960464, Advanced, 0.008, 0.006, 0, 120, 300, 600, 70000, 1000, 0, 0,    Flak200mm   C200mmShrapnel   C200mmShrapnelbase   HE203mm   AP203mm   C200mmAPHEShrapbase   C200mmPDAOE
300mm Gun Turret, 4000, 20, 0.4, 0.25, Advanced, 0.006, 0.005, 0, 200, 850, 0, 30000, 3000, 0, 0,    C300AP   C300mmShrapnel   C300HE   C300G   C300GSecond   C300mmAPHEShrapbase   C300mmHEShrapbase
400mm Gun Turret, 5000, 20, 0.4, 0.150000005960464, Advanced, 0.003, 0.002, 0, 200, 720, 0, 30000, 3000, 0, 0,    C400AP   C400mmShrapnel   C400HE   C400Cluster   C400mmAPHEShrapbase   C400CSecond   C400mmHEShrapbase
30mm RevolverCannon CIWS, 1200, 0, 0.1, 0.150000005960464, Advanced, 0.05, 0.05, 0, 600, 120, 0, 70000, 6800, 0, 0,    30mmAmmoT   30mmAmmoAP   30mmAmmoHE   30mmDUAmmo   30mmAmmoDU   30mmCRAMAmmo   30mmCRAMAmmoS   30mmAmmoTR
30mm RevolverCannon CIWS, 1200, 0, 0.1, 0.150000005960464, Advanced, 0.05, 0.05, 0, 600, 120, 0, 70000, 6800, 0, 0,    30mmAmmoT   30mmAmmoAP   30mmAmmoHE   30mmDUAmmo   30mmAmmoDU   30mmCRAMAmmo   30mmCRAMAmmoS   30mmAmmoTR
500mm Gun Turret, 5000, 20, 0.1, 0.25, Advanced, 0.003, 0.002, 0, 600, 850, 2100, 60000, 1000, 0, 0,    C500AP   C500mmShrapnel   C500HE   C500Casaba   C500NSecond   C500mmAPHEShrapbase   C500Effect   C500CasabaP   C500mmHEShrapbase   C500Chain   C500EMP   C500EMPBase
30mm SubTurret1, 1200, 0, 0.1, 4.15000009536743, Advanced, 0.05, 0.05, 0, 600, 120, 0, 70000, 6800, 0, 0,    30mmAmmoT   30mmAmmoAP   30mmAmmoHE
30mm SubTurret2, 1200, 0, 0.1, 4.15000009536743, Advanced, 0.05, 0.05, 0, 600, 120, 0, 70000, 6800, 0, 0,    30mmAmmoT   30mmAmmoAP   30mmAmmoHE
Fixed 10MJ Plasma Cannon, 0, 0, 0.05, 1, Advanced, 0, 0, 0, 12, 300, 10000, 10000, 2100, 0, 0,    TankPlasmaAmmo   PlFXshots   PlFXshots2
30mm AutoCannon, 1200, 0, 0.1, 4.15000009536743, Accurate, 0, 0, 0, 600, 120, 0, 70000, 6800, 0, 0,    30mmAmmoT   30mmAmmoAP   30mmAmmoHE   30mmDUAmmo   30mmAmmoDU   30mmCRAMAmmo   30mmCRAMAmmoS   30mmAmmoTR
203mm Single Gun Turret, 3500, 20, 0.25, 0.150000005960464, Advanced, 0.008, 0.008, 0, 120, 320, 0, 70000, 1000, 0, 0,    Flak200mm   C200mmShrapnel   C200mmShrapnelbase   HE203mm   AP203mm   C200mmAPHEShrapbase   C200mmPDAOE
BD203mm Howitzer Turret, 5000, 20, 0.6, 0.150000005960464, Advanced, 0.008, 0.008, 0, 120, 320, 0, 70000, 1000, 0, 0,    LV203mmammo   MV203mmammo   HV203mmammo   H203mmammoShrap   H203ShrapBase   HVF203mmammo
